Target device: xilinx_u250_gen3x16_base_4-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
225.934,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
247.435,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
268.374,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
289.456,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
310.681,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
331.241,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
351.829,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
372.942,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
393.932,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
414.577,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
435.025,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
455.482,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
476.031,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
496.538,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
517.578,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
538.553,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
559.494,446,12239,980,12151,7152,851,0,3347,0,0,0,0,21,22,21,21,24,23,0,23,22,24,32,0,
