Target device: xilinx_u250_gen3x16_xdma_shell_4_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
291.266,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
311.972,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
332.585,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
353.253,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
374.314,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
395.001,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
415.483,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
435.973,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
456.443,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
476.9,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
497.347,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
517.757,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
538.186,695,12236,1100,12157,9036,851,0,3347,0,0,0,0,24,28,23,22,28,29,0,27,25,27,36,0,
