Target device: xilinx_u280_gen3x16_xdma_base_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
225.934,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
247.435,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
268.374,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
289.456,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
310.681,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
331.241,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
351.829,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
372.942,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
393.932,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
414.577,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
435.025,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
455.482,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
476.031,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
496.538,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
517.578,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
538.553,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
559.494,747,12158,1121,12115,5346,851,0,3278,0,0,0,0,22,22,0,0,22,29,24,23,23,0,0,0,
