Target device: xilinx_u250_gen3x16_xdma_shell_4_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
446.519,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
468.078,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
489.058,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
510.05,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
531.005,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
551.916,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
572.812,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
593.448,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
614.15,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
634.595,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
655.38,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
675.988,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
696.493,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
717.46,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
738.449,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
759.26,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
780.291,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
801.193,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
822.065,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
843.029,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
863.704,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
884.185,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
904.692,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
925.435,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
946.533,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
966.983,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
987.504,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
1008.31,1042,12240,1356,12156,12282,851,0,3349,0,0,0,0,28,31,35,31,34,38,0,34,28,32,42,0,
