Target device: xilinx_u280_gen3x16_xdma_base_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
446.519,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
468.078,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
489.058,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
510.05,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
531.005,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
551.916,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
572.812,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
593.448,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
614.15,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
634.595,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
655.38,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
675.988,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
696.493,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
717.46,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
738.449,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
759.26,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
780.291,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
801.193,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
822.065,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
843.029,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
863.704,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
884.185,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
904.692,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
925.435,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
946.533,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
966.983,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
987.504,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1008.31,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1029.25,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1049.75,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1070.22,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1090.99,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1111.49,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1132.12,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1152.8,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1173.58,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1194.08,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1216.34,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1236.98,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1257.99,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1278.97,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1299.96,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1320.95,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1341.94,808,12164,1130,12121,5580,851,0,3279,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
1363.38,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5062.93,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5218.81,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5239.23,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5259.62,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5280.2,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5301.08,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5321.96,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5342.95,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5363.97,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5384.91,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5405.84,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5426.94,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5448.08,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5469.05,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5490.07,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5510.96,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5531.54,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5553.34,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5574.45,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5595.47,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5616,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5636.68,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5657.56,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5678.12,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5698.55,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5719.04,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5739.46,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5759.9,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5780.41,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5800.96,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5821.45,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5842.03,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5862.47,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5882.96,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5903.38,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5923.91,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5944.32,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5964.85,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
5985.37,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
6005.82,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
6026.33,734,12163,1061,12119,5412,850,0,3276,0,0,0,0,27,26,0,0,27,37,32,31,28,0,0,0,
6046.72,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6068.24,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6088.89,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6109.46,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6130.12,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6150.7,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6171.26,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6191.69,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6212.14,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6233.56,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6254.19,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6274.59,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6294.99,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6315.41,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6335.8,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6356.2,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6376.59,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6396.98,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6417.38,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
